isogroup gene annotation,
TRINITY_DN10998_c0_g1,Ribose-phosphate pyrophosphokinase 3 OS=Homo sapiens GN=PRPS1L1 PE=1 SV=2 E(blastx)=8e-09
TRINITY_DN22179_c1_g1,RING-box protein 1 OS=Salmo salar GN=rbx1 PE=2 SV=2 E(blastx)=2e-19
TRINITY_DN2006_c0_g1,Putative DNA helicase Ino80 OS=Drosophila melanogaster GN=Ino80 PE=1 SV=2 E(blastx)=6e-12
TRINITY_DN38732_c0_g1,IQ and ubiquitin-like domain-containing protein OS=Rattus norvegicus GN=Iqub PE=2 SV=2 E(blastx)=1e-15
TRINITY_DN10163_c0_g1,RNA-directed DNA polymerase from mobile element jockey OS=Drosophila melanogaster GN=pol PE=1 SV=1 E(blastx)=3e-07
TRINITY_DN38161_c0_g1,Trypsin alpha-3 (Fragment) OS=Lucilia cuprina PE=3 SV=1 E(blastx)=3e-10
TRINITY_DN32659_c0_g1,Heat shock 70 kDa protein cognate 4 OS=Manduca sexta PE=2 SV=1 E(blastx)=1e-39
TRINITY_DN5115_c0_g1,DNA excision repair protein ERCC-6-like 2 OS=Bos taurus GN=ERCC6L2 PE=2 SV=3 E(blastx)=9e-09
TRINITY_DN36855_c0_g1,Cytochrome b559 subunit alpha OS=Emiliania huxleyi GN=psbE PE=3 SV=1 E(blastx)=1e-54
TRINITY_DN23905_c1_g1,"28S ribosomal protein S21, mitochondrial OS=Homo sapiens GN=MRPS21 PE=1 SV=2 E(blastx)=2e-26"
TRINITY_DN31822_c0_g1,Leucine-rich repeat-containing protein 51 OS=Rattus norvegicus GN=Lrrc51 PE=2 SV=1 E(blastx)=5e-07
TRINITY_DN26801_c0_g1,Vinexin OS=Homo sapiens GN=SORBS3 PE=1 SV=2 E(blastx)=5e-05
TRINITY_DN31666_c0_g1,Ribosome biogenesis protein BRX1 homolog OS=Xenopus laevis GN=brix1 PE=2 SV=1 E(blastx)=2e-29
TRINITY_DN36379_c0_g1,CCR4-NOT transcription complex subunit 3 OS=Mus musculus GN=Cnot3 PE=1 SV=1 E(blastx)=1e-53
TRINITY_DN26685_c0_g1,Nucleoprotein TPR OS=Homo sapiens GN=TPR PE=1 SV=3 E(blastx)=2e-07
TRINITY_DN2499_c0_g1,"Dynein light chain 2, cytoplasmic OS=Drosophila melanogaster GN=Cdlc2 PE=3 SV=1 E(blastx)=5e-35"
TRINITY_DN22062_c0_g1,Hepatic leukemia factor OS=Homo sapiens GN=HLF PE=2 SV=1 E(blastx)=3e-25
TRINITY_DN29890_c0_g1,Galectin-7 OS=Rattus norvegicus GN=Lgals7 PE=2 SV=4 E(blastx)=2e-10
TRINITY_DN30098_c0_g1,Ashwin OS=Rattus norvegicus PE=1 SV=1 E(blastx)=1e-07
TRINITY_DN19012_c0_g1,Ankyrin repeat domain-containing protein 2 OS=Mus musculus GN=Ankrd2 PE=1 SV=3 E(blastx)=1e-07
TRINITY_DN14662_c0_g1,Electron transfer flavoprotein subunit beta OS=Sus scrofa GN=ETFB PE=2 SV=3 E(blastx)=1e-48
TRINITY_DN26445_c0_g1,Pre-mRNA-splicing factor 18 OS=Xenopus laevis GN=prpf18 PE=2 SV=1 E(blastx)=2e-06
TRINITY_DN4473_c0_g1,"Histidine--tRNA ligase, cytoplasmic OS=Bos taurus GN=HARS PE=2 SV=1 E(blastx)=2e-56"
TRINITY_DN8150_c0_g1,"Cytochrome c oxidase subunit 7C, mitochondrial OS=Mus musculus GN=Cox7c PE=1 SV=1 E(blastx)=1e-10"
TRINITY_DN29599_c0_g1,78 kDa glucose-regulated protein OS=Echinococcus multilocularis GN=GRP78 PE=2 SV=1 E(blastx)=2e-11
TRINITY_DN26005_c0_g1,40S ribosomal protein S12 OS=Sus scrofa GN=RPS12 PE=2 SV=2 E(blastx)=3e-63
TRINITY_DN21256_c0_g1,Carbohydrate sulfotransferase 4 OS=Homo sapiens GN=CHST4 PE=1 SV=2 E(blastx)=2e-12
TRINITY_DN26436_c0_g1,Zinc finger and SCAN domain-containing protein 5B OS=Homo sapiens GN=ZSCAN5B PE=3 SV=1 E(blastx)=2e-12
TRINITY_DN41_c0_g1,RNA-binding protein 45 OS=Mus musculus GN=Rbm45 PE=1 SV=1 E(blastx)=7e-05
TRINITY_DN30457_c0_g1,LINE-1 reverse transcriptase homolog OS=Nycticebus coucang PE=3 SV=1 E(blastx)=6e-10
TRINITY_DN39734_c0_g1,Kinesin heavy chain OS=Doryteuthis pealeii PE=2 SV=1 E(blastx)=7e-46
TRINITY_DN32991_c0_g1,Ubiquitin-conjugating enzyme E2 H OS=Mus musculus GN=Ube2h PE=1 SV=1 E(blastx)=6e-43
TRINITY_DN14135_c0_g1,DNA topoisomerase 1 OS=Homo sapiens GN=TOP1 PE=1 SV=2 E(blastx)=3e-33
TRINITY_DN6414_c0_g1,"Myosin heavy chain, striated muscle OS=Argopecten irradians PE=1 SV=1 E(blastx)=1e-27"
TRINITY_DN38712_c0_g1,E3 ubiquitin-protein ligase HERC2 OS=Mus musculus GN=Herc2 PE=1 SV=3 E(blastx)=4e-09
TRINITY_DN10645_c0_g1,Dynein heavy chain domain-containing protein 1 OS=Homo sapiens GN=DNHD1 PE=2 SV=2 E(blastx)=6e-11
TRINITY_DN31998_c0_g1,SAP30-binding protein OS=Homo sapiens GN=SAP30BP PE=1 SV=1 E(blastx)=2e-21
TRINITY_DN17379_c0_g1,Zinc finger CCCH domain-containing protein 15 OS=Homo sapiens GN=ZC3H15 PE=1 SV=1 E(blastx)=5e-80
TRINITY_DN24348_c0_g1,40S ribosomal protein S15 OS=Oryza sativa subsp. japonica GN=RPS15 PE=2 SV=2 E(blastx)=5e-36
TRINITY_DN13366_c0_g1,Syntaxin-18 OS=Danio rerio GN=stx18 PE=2 SV=1 E(blastx)=2e-10
TRINITY_DN293_c0_g1,Coiled-coil domain-containing protein 33 OS=Rattus norvegicus GN=Ccdc33 PE=2 SV=1 E(blastx)=5e-10
TRINITY_DN28556_c0_g1,Heterogeneous nuclear ribonucleoprotein H2 OS=Pongo abelii GN=HNRNPH2 PE=2 SV=1 E(blastx)=5e-16
TRINITY_DN37950_c0_g1,DNA primase small subunit OS=Homo sapiens GN=PRIM1 PE=1 SV=1 E(blastx)=5e-44
TRINITY_DN11157_c0_g1,ATP-dependent RNA helicase DHX8 OS=Mus musculus GN=Dhx8 PE=2 SV=1 E(blastx)=1e-18
TRINITY_DN24625_c0_g1,40S ribosomal protein S9 OS=Drosophila yakuba GN=RpS9 PE=2 SV=1 E(blastx)=1e-24
TRINITY_DN25132_c0_g1,Low affinity immunoglobulin epsilon Fc receptor OS=Mus musculus GN=Fcer2 PE=1 SV=1 E(blastx)=4e-12
TRINITY_DN17036_c0_g1,Elongation factor 1-alpha (Fragment) OS=Helicoverpa zea PE=3 SV=1 E(blastx)=3e-40
TRINITY_DN39978_c0_g1,Interferon-inducible double-stranded RNA-dependent protein kinase activator A homolog B OS=Xenopus laevis GN=prkra-b PE=1 SV=1 E(blastx)=4e-06
TRINITY_DN28560_c0_g1,Replication factor C subunit 3 OS=Mus musculus GN=Rfc3 PE=1 SV=1 E(blastx)=1e-35
TRINITY_DN8907_c1_g1,Luc7-like protein 3 OS=Pongo abelii GN=LUC7L3 PE=2 SV=1 E(blastx)=4e-10
TRINITY_DN37149_c0_g1,Histone H3 OS=Tetrahymena thermophila GN=HHT1 PE=1 SV=2 E(blastx)=4e-35
TRINITY_DN20078_c0_g1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 OS=Drosophila melanogaster GN=l(2)k12914 PE=3 SV=1 E(blastx)=9e-18
TRINITY_DN36328_c0_g1,Aldo-keto reductase family 1 member C23 OS=Equus caballus GN=AKR1C23 PE=1 SV=1 E(blastx)=2e-12
TRINITY_DN17321_c0_g1,Hsp90 co-chaperone Cdc37 OS=Drosophila virilis GN=Cdc37 PE=3 SV=1 E(blastx)=6e-70
TRINITY_DN2389_c0_g1,COMM domain-containing protein 6 OS=Mus musculus GN=Commd6 PE=1 SV=1 E(blastx)=2e-12
TRINITY_DN29043_c0_g1,T-complex protein 1 subunit theta OS=Gallus gallus GN=CCT8 PE=1 SV=3 E(blastx)=9e-95
TRINITY_DN35170_c0_g1,UPF0602 protein C4orf47 homolog OS=Bos taurus PE=2 SV=1 E(blastx)=1e-24
TRINITY_DN34943_c0_g1,Prolyl 4-hydroxylase subunit alpha-1 OS=Pongo abelii GN=P4HA1 PE=2 SV=1 E(blastx)=4e-19
TRINITY_DN16636_c0_g1,Angiomotin OS=Mus musculus GN=Amot PE=1 SV=3 E(blastx)=4e-19
TRINITY_DN38479_c0_g1,Cell growth-regulating nucleolar protein OS=Mus musculus GN=Lyar PE=1 SV=2 E(blastx)=3e-11
TRINITY_DN11698_c0_g1,Cilia- and flagella-associated protein 43 OS=Homo sapiens GN=CFAP43 PE=2 SV=3 E(blastx)=3e-16
TRINITY_DN10070_c0_g1,Homologous-pairing protein 2 homolog OS=Xenopus laevis GN=psmc3ip PE=2 SV=1 E(blastx)=8e-09
TRINITY_DN4877_c0_g1,Integrator complex subunit 12 OS=Pongo abelii GN=INTS12 PE=2 SV=1 E(blastx)=8e-07
TRINITY_DN35115_c0_g1,Histone H2A OS=Platynereis dumerilii PE=3 SV=2 E(blastx)=1e-34
TRINITY_DN11752_c0_g1,Intraflagellar transport protein 74 homolog OS=Mus musculus GN=Ift74 PE=1 SV=2 E(blastx)=5e-18
TRINITY_DN25817_c0_g1,Luc7-like protein 3 OS=Pongo abelii GN=LUC7L3 PE=2 SV=1 E(blastx)=6e-22
TRINITY_DN25018_c0_g1,LINE-1 retrotransposable element ORF2 protein OS=Homo sapiens PE=1 SV=1 E(blastx)=6e-07
TRINITY_DN37861_c0_g1,40S ribosomal protein S19 OS=Argopecten irradians GN=RPS19 PE=2 SV=1 E(blastx)=2e-42
TRINITY_DN15510_c0_g1,Ubiquitin carboxyl-terminal hydrolase 47 OS=Mus musculus GN=Usp47 PE=1 SV=2 E(blastx)=5e-60
TRINITY_DN22757_c0_g1,Exocyst complex component 6B OS=Mus musculus GN=Exoc6b PE=1 SV=1 E(blastx)=1e-30
TRINITY_DN3295_c0_g1,Lambda-crystallin homolog OS=Homo sapiens GN=CRYL1 PE=1 SV=3 E(blastx)=4e-12
TRINITY_DN21674_c0_g1,40S ribosomal protein S23 OS=Rattus norvegicus GN=Rps23 PE=1 SV=3 E(blastx)=2e-39
TRINITY_DN11482_c0_g1,Tubulin polyglutamylase TTLL11 OS=Homo sapiens GN=TTLL11 PE=1 SV=2 E(blastx)=4e-28
TRINITY_DN24476_c0_g1,Leucine-rich repeat-containing protein 23 OS=Mus musculus GN=Lrrc23 PE=1 SV=1 E(blastx)=7e-31
TRINITY_DN23473_c0_g1,Protein SDA1 homolog OS=Danio rerio GN=sdad1 PE=2 SV=1 E(blastx)=1e-28
TRINITY_DN3888_c0_g1,Constitutive coactivator of PPAR-gamma-like protein 1 OS=Homo sapiens GN=FAM120A PE=1 SV=2 E(blastx)=3e-30
TRINITY_DN20037_c0_g1,Techylectin-5B OS=Tachypleus tridentatus PE=1 SV=1 E(blastx)=1e-15
TRINITY_DN32800_c0_g1,Merlin (Fragment) OS=Rattus norvegicus GN=Nf2 PE=1 SV=1 E(blastx)=3e-22
TRINITY_DN11180_c0_g1,COP9 signalosome complex subunit 5 OS=Danio rerio GN=cops5 PE=2 SV=1 E(blastx)=1e-23
TRINITY_DN27765_c0_g1,Integrator complex subunit 3 OS=Pongo abelii GN=INTS3 PE=2 SV=1 E(blastx)=5e-25
TRINITY_DN35822_c0_g1,60S acidic ribosomal protein P2 OS=Artemia salina PE=1 SV=1 E(blastx)=3e-08
TRINITY_DN24813_c0_g1,Eukaryotic translation initiation factor 3 subunit C OS=Anopheles gambiae GN=eIF3-S8 PE=3 SV=3 E(blastx)=5e-15
TRINITY_DN1164_c0_g1,Probable polyketide synthase 3 OS=Dictyostelium discoideum GN=pks3 PE=3 SV=1 E(blastx)=1e-06
TRINITY_DN5148_c0_g1,X-box-binding protein 1 OS=Bos taurus GN=XBP1 PE=2 SV=1 E(blastx)=3e-15
TRINITY_DN37560_c0_g1,ATP-dependent RNA helicase dhx29 OS=Xenopus laevis GN=dhx29 PE=2 SV=1 E(blastx)=2e-13
TRINITY_DN38589_c0_g1,Ubiquitin carboxyl-terminal hydrolase 8 OS=Mus musculus GN=Usp8 PE=1 SV=2 E(blastx)=2e-08
TRINITY_DN25908_c0_g1,Translocon-associated protein subunit gamma OS=Homo sapiens GN=SSR3 PE=1 SV=1 E(blastx)=4e-18
TRINITY_DN20658_c0_g1,U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Mus musculus GN=Snrnp200 PE=1 SV=1 E(blastx)=6e-80
TRINITY_DN10485_c0_g1,T-complex protein 1 subunit beta OS=Bos taurus GN=CCT2 PE=1 SV=3 E(blastx)=9e-37
TRINITY_DN34944_c0_g1,Clathrin interactor 1 OS=Homo sapiens GN=CLINT1 PE=1 SV=1 E(blastx)=6e-30
TRINITY_DN3517_c0_g1,Signal recognition particle 14 kDa protein OS=Pongo abelii GN=SRP14 PE=2 SV=1 E(blastx)=2e-18
TRINITY_DN27910_c0_g1,Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16 OS=Bos taurus GN=DHX38 PE=2 SV=1 E(blastx)=8e-05
TRINITY_DN2560_c1_g1,Sulfatase-modifying factor 1 OS=Mus musculus GN=Sumf1 PE=1 SV=2 E(blastx)=1e-26
TRINITY_DN32373_c0_g1,Slit homolog 3 protein OS=Rattus norvegicus GN=Slit3 PE=2 SV=1 E(blastx)=1e-22
TRINITY_DN27859_c0_g1,Aquaporin-4 OS=Rattus norvegicus GN=Aqp4 PE=1 SV=1 E(blastx)=2e-17
TRINITY_DN32970_c0_g1,Sorting nexin-12 OS=Mus musculus GN=Snx12 PE=1 SV=1 E(blastx)=1e-33
TRINITY_DN30968_c0_g1,"Actin, muscle (Fragment) OS=Lytechinus pictus PE=3 SV=1 E(blastx)=9e-49"
TRINITY_DN10378_c0_g1,Titin OS=Drosophila melanogaster GN=sls PE=1 SV=3 E(blastx)=9e-12
TRINITY_DN39131_c0_g1,Glucosidase 2 subunit beta OS=Mus musculus GN=Prkcsh PE=1 SV=1 E(blastx)=2e-31
TRINITY_DN39183_c0_g1,Polysialic acid O-acetyltransferase OS=Escherichia coli O1:K1 / APEC GN=neuO PE=1 SV=1 E(blastx)=4e-05
TRINITY_DN25592_c0_g1,Tubulin alpha-2 chain OS=Eleusine indica GN=TUBA2 PE=2 SV=1 E(blastx)=3e-17
TRINITY_DN37790_c0_g1,Basal body-orientation factor 1 OS=Mus musculus GN=Bbof1 PE=2 SV=2 E(blastx)=2e-06
TRINITY_DN12101_c0_g1,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Pongo abelii GN=HNRNPA2B1 PE=2 SV=1 E(blastx)=6e-31
TRINITY_DN38834_c0_g1,Protein-lysine N-methyltransferase Mettl10 OS=Mus musculus GN=Mettl10 PE=1 SV=1 E(blastx)=3e-26
TRINITY_DN9133_c0_g1,60S ribosomal protein L18 OS=Timarcha balearica GN=RpL18 PE=2 SV=1 E(blastx)=2e-37
TRINITY_DN38872_c0_g1,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial OS=Homo sapiens GN=OXCT1 PE=1 SV=1 E(blastx)=3e-23"
TRINITY_DN28678_c0_g1,Alcohol dehydrogenase class-3 OS=Drosophila melanogaster GN=Fdh PE=1 SV=3 E(blastx)=8e-25
TRINITY_DN31705_c0_g1,Proteasome subunit alpha type-3 OS=Bos taurus GN=PSMA3 PE=1 SV=3 E(blastx)=4e-24
TRINITY_DN16881_c0_g1,Partner of Y14 and mago OS=Anopheles gambiae GN=Pym PE=3 SV=4 E(blastx)=3e-18
TRINITY_DN1046_c0_g1,Ankyrin repeat and EF-hand domain-containing protein 1 OS=Homo sapiens GN=ANKEF1 PE=2 SV=2 E(blastx)=4e-06
TRINITY_DN35910_c0_g1,Histone H1.2 OS=Caenorhabditis elegans GN=hil-2 PE=1 SV=3 E(blastx)=3e-08
TRINITY_DN35866_c0_g1,Oxygen-dependent coproporphyrinogen-III oxidase OS=Drosophila melanogaster GN=Coprox PE=2 SV=1 E(blastx)=4e-47
TRINITY_DN35597_c0_g1,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial (Fragment) OS=Perodicticus potto edwarsi GN=COX4I1 PE=3 SV=1 E(blastx)=1e-14"
TRINITY_DN28098_c0_g1,Purine nucleoside phosphorylase OS=Mus musculus GN=Pnp PE=1 SV=2 E(blastx)=2e-21
TRINITY_DN27126_c0_g1,Probable methyltransferase BMT2 homolog OS=Xenopus laevis PE=2 SV=1 E(blastx)=4e-18
TRINITY_DN491_c0_g1,Cytochrome c oxidase assembly factor 6 homolog OS=Mus musculus GN=Coa6 PE=1 SV=1 E(blastx)=3e-13
TRINITY_DN23712_c0_g1,Translocation protein SEC62 OS=Pongo abelii GN=SEC62 PE=2 SV=1 E(blastx)=6e-22
TRINITY_DN30322_c0_g1,Zinc transporter 9 OS=Danio rerio GN=slc30a9 PE=2 SV=1 E(blastx)=8e-12
TRINITY_DN13335_c0_g1,Guanine nucleotide-binding protein subunit beta OS=Loligo forbesi PE=2 SV=1 E(blastx)=9e-34
TRINITY_DN31117_c0_g1,Sorting nexin-29 OS=Bos taurus GN=SNX29 PE=2 SV=1 E(blastx)=3e-12
TRINITY_DN26307_c0_g1,Centrin-2 OS=Mus musculus GN=Cetn2 PE=1 SV=1 E(blastx)=3e-28
TRINITY_DN39487_c0_g1,DNA-directed RNA polymerase I subunit RPA1 OS=Homo sapiens GN=POLR1A PE=1 SV=2 E(blastx)=5e-29
TRINITY_DN39874_c0_g1,Telokin OS=Meleagris gallopavo PE=1 SV=1 E(blastx)=6e-18
TRINITY_DN39968_c0_g1,"Spectrin alpha chain, non-erythrocytic 1 OS=Gallus gallus GN=SPTAN1 PE=1 SV=3 E(blastx)=2e-18"
TRINITY_DN7767_c0_g1,RNA-directed DNA polymerase from mobile element jockey OS=Drosophila funebris GN=jockey\pol PE=1 SV=1 E(blastx)=3e-06
TRINITY_DN32815_c0_g1,"Elongation factor Tu, mitochondrial OS=Bos taurus GN=TUFM PE=1 SV=1 E(blastx)=1e-19"
TRINITY_DN580_c0_g1,"Apoptosis-inducing factor 1, mitochondrial OS=Homo sapiens GN=AIFM1 PE=1 SV=1 E(blastx)=7e-47"
TRINITY_DN35728_c0_g1,Actin-binding LIM protein 1 OS=Mus musculus GN=Ablim1 PE=1 SV=1 E(blastx)=3e-05
TRINITY_DN25406_c0_g1,Caveolin-1 OS=Takifugu rubripes GN=cav1 PE=3 SV=1 E(blastx)=1e-09
TRINITY_DN27226_c0_g1,Leucine-rich repeat-containing protein 45 OS=Gallus gallus GN=LRRC45 PE=2 SV=1 E(blastx)=2e-12
TRINITY_DN37108_c0_g1,SH3 domain-binding glutamic acid-rich protein OS=Mus musculus GN=Sh3bgr PE=1 SV=1 E(blastx)=7e-17
TRINITY_DN26298_c0_g1,Mitogen-activated protein kinase 1 OS=Xenopus laevis GN=mapk1 PE=1 SV=3 E(blastx)=6e-42
TRINITY_DN28094_c0_g1,Transformer-2 protein homolog beta OS=Rattus norvegicus GN=Tra2b PE=1 SV=1 E(blastx)=6e-34
TRINITY_DN9153_c0_g1,Histone acetyltransferase KAT6A OS=Rattus norvegicus GN=Kat6a PE=1 SV=2 E(blastx)=1e-28
TRINITY_DN37592_c0_g1,Mitochondrial-processing peptidase subunit beta OS=Bos taurus GN=PMPCB PE=2 SV=1 E(blastx)=7e-09
TRINITY_DN14907_c0_g1,Origin recognition complex subunit 5 OS=Homo sapiens GN=ORC5 PE=1 SV=1 E(blastx)=3e-09
TRINITY_DN9897_c0_g1,Protein phosphatase 1 regulatory subunit 21 OS=Danio rerio GN=ppp1r21 PE=2 SV=1 E(blastx)=3e-11
TRINITY_DN39848_c0_g1,Isocitrate dehydrogenase [NADP] OS=Azotobacter vinelandii GN=icd PE=1 SV=5 E(blastx)=4e-08
TRINITY_DN19813_c0_g1,Sperm-associated antigen 1A OS=Danio rerio GN=spag1a PE=2 SV=1 E(blastx)=3e-15
TRINITY_DN37065_c0_g1,Pre-mRNA-splicing factor CWC22 homolog OS=Drosophila melanogaster GN=ncm PE=1 SV=3 E(blastx)=1e-45
TRINITY_DN21536_c0_g1,Nuclear distribution protein nudE-like 1-B OS=Xenopus laevis GN=ndel1-b PE=2 SV=1 E(blastx)=2e-16
TRINITY_DN28005_c0_g1,Synaptotagmin-1 OS=Aplysia californica GN=SYT1 PE=1 SV=2 E(blastx)=4e-45
TRINITY_DN38809_c0_g1,Protein TAR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TAR1 PE=2 SV=1 E(blastx)=1e-06
TRINITY_DN35192_c0_g1,Kinesin-like protein kif7 OS=Danio rerio GN=kif7 PE=1 SV=1 E(blastx)=3e-21
TRINITY_DN37219_c0_g1,Nidogen-1 OS=Mus musculus GN=Nid1 PE=1 SV=2 E(blastx)=1e-05
TRINITY_DN16521_c0_g1,Mediator of RNA polymerase II transcription subunit 6 OS=Bos taurus GN=MED6 PE=2 SV=1 E(blastx)=9e-57
TRINITY_DN29756_c0_g1,BET1 homolog OS=Mus musculus GN=Bet1 PE=1 SV=1 E(blastx)=8e-16
TRINITY_DN13249_c0_g1,UV excision repair protein RAD23 homolog A OS=Bos taurus GN=RAD23A PE=2 SV=1 E(blastx)=2e-23
TRINITY_DN19318_c0_g1,"Enoyl-CoA delta isomerase 2, mitochondrial OS=Rattus norvegicus GN=Eci2 PE=1 SV=1 E(blastx)=1e-20"
TRINITY_DN29446_c0_g1,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-4 OS=Mus musculus GN=Gng4 PE=1 SV=1 E(blastx)=8e-08
TRINITY_DN37186_c0_g1,DNA polymerase epsilon subunit 3 OS=Pongo abelii GN=POLE3 PE=2 SV=1 E(blastx)=4e-12
TRINITY_DN24399_c0_g1,G kinase-anchoring protein 1 OS=Danio rerio GN=gkap1 PE=2 SV=1 E(blastx)=1e-09
TRINITY_DN26550_c0_g1,Casein kinase I isoform delta OS=Xenopus tropicalis GN=csnk1d PE=2 SV=1 E(blastx)=3e-40
TRINITY_DN39993_c0_g1,"60 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2 E(blastx)=2e-35"
TRINITY_DN37234_c0_g1,Dehydrogenase/reductase SDR family member 11 OS=Homo sapiens GN=DHRS11 PE=1 SV=1 E(blastx)=3e-16
TRINITY_DN16946_c0_g1,RING finger protein 11 OS=Homo sapiens GN=RNF11 PE=1 SV=1 E(blastx)=3e-20
TRINITY_DN28146_c0_g1,Serine/threonine-protein kinase MRCK beta OS=Homo sapiens GN=CDC42BPB PE=1 SV=2 E(blastx)=2e-26
TRINITY_DN34395_c0_g1,DnaJ homolog subfamily B member 1 OS=Mus musculus GN=Dnajb1 PE=1 SV=3 E(blastx)=9e-33
TRINITY_DN35818_c0_g1,U4/U6.U5 tri-snRNP-associated protein 1 OS=Homo sapiens GN=SART1 PE=1 SV=1 E(blastx)=2e-31
TRINITY_DN3894_c0_g1,Mitochondrial fission 1 protein OS=Bos taurus GN=FIS1 PE=2 SV=1 E(blastx)=1e-30
TRINITY_DN27115_c0_g1,PDZ and LIM domain protein Zasp OS=Drosophila melanogaster GN=Zasp52 PE=1 SV=2 E(blastx)=2e-13
TRINITY_DN33704_c0_g1,Cyclic AMP-responsive element-binding protein 3-like protein 1 OS=Mus musculus GN=Creb3l1 PE=1 SV=2 E(blastx)=3e-20
TRINITY_DN38265_c0_g1,LINE-1 retrotransposable element ORF2 protein OS=Mus musculus GN=Pol PE=1 SV=2 E(blastx)=3e-07
TRINITY_DN9669_c0_g1,Probable ATP-dependent RNA helicase DDX47 OS=Homo sapiens GN=DDX47 PE=1 SV=1 E(blastx)=5e-14
TRINITY_DN22527_c0_g1,Probable ATP-dependent RNA helicase DDX17 OS=Mus musculus GN=Ddx17 PE=1 SV=1 E(blastx)=7e-72
TRINITY_DN10615_c0_g1,Eukaryotic peptide chain release factor GTP-binding subunit ERF3B OS=Homo sapiens GN=GSPT2 PE=1 SV=2 E(blastx)=5e-06
TRINITY_DN24250_c0_g1,60S ribosomal protein L13 OS=Danio rerio GN=rpl13 PE=2 SV=3 E(blastx)=5e-39
TRINITY_DN32571_c0_g1,"Propionyl-CoA carboxylase alpha chain, mitochondrial OS=Caenorhabditis briggsae GN=pcca-1 PE=3 SV=1 E(blastx)=2e-21"
TRINITY_DN37893_c0_g1,GPALPP motifs-containing protein 1 OS=Rattus norvegicus GN=Gpalpp1 PE=1 SV=1 E(blastx)=1e-10
TRINITY_DN36907_c0_g1,60S ribosomal protein L35 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=rpl35 PE=1 SV=1 E(blastx)=2e-07
TRINITY_DN34855_c0_g1,Importin subunit alpha-4 OS=Homo sapiens GN=KPNA3 PE=1 SV=2 E(blastx)=4e-68
TRINITY_DN7452_c0_g1,ADP-ribosylation factor-like protein 3 OS=Pongo abelii GN=ARL3 PE=2 SV=1 E(blastx)=1e-22
TRINITY_DN2669_c0_g1,26S proteasome non-ATPase regulatory subunit 4 OS=Homo sapiens GN=PSMD4 PE=1 SV=1 E(blastx)=4e-50
TRINITY_DN26174_c0_g1,Tropomyosin-1 OS=Biomphalaria glabrata PE=2 SV=1 E(blastx)=3e-29
TRINITY_DN37061_c0_g1,Probable leucine carboxyl methyltransferase 1 OS=Caenorhabditis elegans GN=B0285.4 PE=3 SV=1 E(blastx)=3e-06
TRINITY_DN27809_c0_g1,Gelsolin-like protein 1 OS=Lumbricus terrestris GN=AM PE=1 SV=1 E(blastx)=9e-32
TRINITY_DN3312_c0_g1,Protein Aatf OS=Drosophila melanogaster GN=Aatf PE=1 SV=1 E(blastx)=3e-10
TRINITY_DN33867_c0_g1,26S protease regulatory subunit 6B OS=Manduca sexta PE=2 SV=1 E(blastx)=2e-06
TRINITY_DN39586_c0_g1,27S pre-rRNA (guanosine(2922)-2'-O)-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPB1 PE=1 SV=2 E(blastx)=7e-12
TRINITY_DN11390_c0_g1,Rab11 family-interacting protein 4A OS=Danio rerio GN=rab11fip4a PE=2 SV=1 E(blastx)=3e-05
TRINITY_DN22632_c0_g1,"Fibrinolytic enzyme, isozyme C OS=Lumbricus rubellus PE=1 SV=1 E(blastx)=1e-05"
TRINITY_DN3469_c0_g1,5'-3' exoribonuclease 1 OS=Mus musculus GN=Xrn1 PE=1 SV=1 E(blastx)=8e-08
TRINITY_DN36989_c0_g1,H/ACA ribonucleoprotein complex subunit 1 OS=Xenopus tropicalis GN=gar1 PE=2 SV=1 E(blastx)=1e-29
TRINITY_DN21054_c0_g1,60S ribosomal protein L13 OS=Rattus norvegicus GN=Rpl13 PE=1 SV=2 E(blastx)=3e-25
TRINITY_DN21074_c0_g1,"Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial OS=Branchiostoma floridae GN=BRAFLDRAFT_270748 PE=3 SV=1 E(blastx)=6e-35"
TRINITY_DN29401_c0_g1,Putative RNA-binding protein Luc7-like 1 OS=Mus musculus GN=Luc7l PE=1 SV=2 E(blastx)=1e-22
TRINITY_DN31892_c0_g1,Vesicle-associated membrane protein 2 OS=Xenopus laevis GN=vamp2 PE=3 SV=3 E(blastx)=4e-11
TRINITY_DN14455_c0_g1,Centrosomal protein of 290 kDa OS=Homo sapiens GN=CEP290 PE=1 SV=2 E(blastx)=1e-08
